Company Name,Funding (est $),Notable Investors,Headcount,URL,Description,Category,Focus,Value Chain Layer,Modality,Product Focus,Industry,Active?,Founded,HQ,Logo,Founders,Last Round,Valuation,Business Model,Open Source?,
MetaDialog,,,,https://metadialog.com/,,Chatbot/Conversational AI,Automated Virtual Agents,,,,,,,Other US,,,,,,,
Metaphor,"$100,000 ","Atypical Ventures,Helium-3 Ventures,Lombardstreet Ventures,Pi Campus,Pioneer Fund,Y Combinator",3,metaphor.so,"* Web search hasn't changed in 20 years. We're building a new search engine from scratch, using the same ideas behind DALL-E and Stable Diffusion. 
- It understands language — in the form of prompts — so you can say what you're looking for in all the expressive and creative ways you can think of. And, if we're lucky, it might make the internet feel a little less like a wall of ads.",Search Engine,,Applications (Horizontal),Text,Search,General,Yes,,,,,,,,,
Metaphor,"$2,000,000","Y Combinator, Lombardstreet Ventures, FAST — by GETTYLAB, Atypical Ventures, Helium-3 Ventures",,https://metaphor.systems/,,Semantic Search,Video/Image Search,,,,,,,"New York, NY",,,,,,,
Metaphysic,"$7,500,000","8VC, Winklevoss Capital, Section 32, Logan Paul, QP Ventures",,https://metaphysic.ai/,,Video,AI generated content tools,,,,,,,"London, UK",,,,,,,
Midjourney,$0 ,,14,www.midjourney.com,"* Midjourney is an independent research lab exploring new mediums of thought and expanding the imaginative powers of the human species.
- We are a small self-funded team focused on design, human infrastructure, and AI. We have 11 full-time staff and an incredible set of advisors.",Foundation Model Providers,,AI Development & Tools,Image,Model Development & Tools,General,Yes,,,,,,,,,
Midjourney,,,,https://www.midjourney.com/,,Image,Research Lab,,,,,,,SF Bay Area,,,,,,,
Mindtech,"$10,122,887","Appen, Deeptech Labs, NPIF – Mercia Equity Finance, In-Q-Tel",,https://www.mindtech.global/,,Data,Synthetic data generation,,,,,,,"London, UK",,,,,,,
Minerva Solutions,,,,https://minervasolutions.io/,,Text,Advertising for real estate,,,,,,,"New York, NY",,,,,,,
Mintlify,"$2,800,000 ","Bain Capital Ventures,Quinn Slack,Twenty Two Ventures,Y Combinator",3,www.mintlify.com,"* Backend for World Class Documentation
- Stop wrestling with outdated documentation. Integrate documentation into your workflow to move faster as you scale",Documentation Writing,,Applications (Horizontal),Code,Code generation & Documentation,General,Yes,,,,,,,,,
Mintlify,"$2,800,000","Y Combinator, Bain Capital Ventures, TwentyTwo VC, Quinn Slack",,https://mintlify.com//,,Code,Code Documentation,,,,,,,"New York, NY",,,,,,,
Mirage,,"Edward Lando, Sequoia Capital, Pareto Holdings",,https://www.mirageml.com/,,Image,3D Generation,,,,,,,SF Bay Area,,,,,,,
MirryAI,,,,https://www.mirry.ai/main,,Data,Synthetic Data,,,,,,,Other US,,,,,,,
ModelMe,$0 ,Entrepreneur First,5,www.modelme.tech,* Photo shootings in your backyard,Product Display,,Applications (Vertical),Image,Image Generation,E-Commerce,Yes,,,,,,,,,
Modyfi,$0 ,Service Provider Capital,10,www.modyfi.io,"* Create. Together.
- The image editor you've always wanted. AI-powered creative tools in your browser. Real-time collaboration. All your assets in one place.","AI Editing for Video, Photos, and Audio",,Applications (Horizontal),Image,Image Editing,General,Yes,,,,,,,,,
Moises,"$10,425,709","Alumni Ventures, Norwest Venture Partners, Goodwater Capital, Index Ventures, Monashees",,https://moises.ai/,,Audio,"Songwriting, Isolate vocals/instruments",,,,,,,Other US,,,,,,,
MolinAI,"$250,000",,,https://molin.ai/,,Text,AI workflows in one place with SDK,,,,,,,"London, UK",,,,,,,
MonkeyLearn,"$3,235,000","500 Global, Uncork Capital, Bling Capital, Howie Liu, Garuda Ventures",,https://monkeylearn.com/,,Sentiment Analysis,Text analysis,,,,,,,SF Bay Area,,,,,,,
Monterey,$0 ,Y Combinator,3,www.monterey.ai,"* Copilot for Product Development
- Don't write another Product Requirement Document that your team will ignore anyway. Define, design, and deliver with Monterey.",Vertical,,Applications (Vertical),Text,General Writing & Editing,Enterprise,Yes,,,,,,,,,
Moonbeam,,,,https://www.gomoonbeam.com/,,Text,Writing (automated),,,,,,,Other US,,,,,,,
MosaicML,"$37,000,000",,,https://www.mosaicml.com/,,MLOps/Platform,Model development,,,,,,,SF Bay Area,,,,,,,
MostlyAI,"$31,145,550","Earlybird Venture Capital, Molten Ventures, 42CAP, Citi Ventures, PUSH Ventures",,https://mostly.ai/,,Data,Synthetic Data generation,,,,,,,Europe,,,,,,,
Motorica AB,"$450,000",,,https://www.motorica.ai/home,,Game,AI character animation,,,,,,,Europe,,,,,,,
Moveworks,"$305,000,000","Tiger Global Management, Lightspeed Venture Partners, Sapphire Ventures, Bain Capital, Bain Capital Ventures",,https://moveworks.com,,Chatbot/Conversational AI,AI-based employee support,,,,,,,SF Bay Area,,,,,,,
Mubert,"$2,200,000","AltaIR Capital, IT-Farm, FunCubator, LVL1 Group, GVA Capital",,https://mubert.com/,,Audio,Song generation,,,,,,,Other US,,,,,,,
Munch,$0 ,,6,www.mnch.co,"* Go Viral Using Your Existing Content. Automatically.
- Munch allows you to create once. Repurpose to Dozens of pieces on every platform. Analyze engagement. Control Monetization. All On One Platform.",Content Repurposing,,Applications (Vertical),Text,General Writing & Editing,Marketing,Yes,,,,,,,,,
Munch,"$1,930,000","Remagine Ventures, Amir Shevat, Cardumen Capital, Ron Levy, Nuseir Yassin",,https://www.getmunch.com/,,Video,automated video highlights and overlays,,,,,,,Israel,,,,,,,
Murf,"$11,500,000","Elevation Capital, Vidit Aatrey, Matrix Partners India, Ankit Bhati, Ashish Goel",,https://murf.ai/,,Audio,Text to Speech,,,,,,,Other US,,,,,,,
Murf.Ai,"$11,500,000 ","Ajay Arora,Ankit Bhati,Ashish Goel,Ashwini Ashokan,Elevation Capital,Kashyap Deorahe,Matrix Partners India,Pushkar Mukevar,Sanjeev Barnwal,Vidit Aatrey,Yamini Bhat",31,www.murf.ai,"* Go from text to speech with a versatile AI voice generator
- AI enabled, real people's voices
- Make studio-quality voice overs in minutes. Use Murf’s lifelike AI voices for podcasts, videos, and all your professional presentations",Synthetic Voices & Dubbing,,Applications (Horizontal),Audio,Audio Editing & Dubbing,General,Yes,,,,,,,,,
Musico,,,,https://www.musi-co.com/,,Audio,Song generation,,,,,,,Europe,,,,,,,
Mutable.ai,$0 ,No Data,,www.Mutable.ai,AI Accelerated software development,"MLOps, Infra, & DevTools",,Applications (Horizontal),Code,Code generation & Documentation,General,Yes,,,,,,,,,
MutableAI,"$130,000",Y Combinator,,https://mutable.ai/,,Code,Code Generation / Quality,,,,,,,Other US,,,,,,,
Mutiny,"$71,620,000","Sequoia Capital, Y Combinator, Tiger Global Management, Insight Partners, Hack VC",,http://www.mutinyhq.com/,,Text,Marketing / Personalized websites,,,,,,,SF Bay Area,,,,,,,
Myth.Ai,"$200,000","Keiretsu Forum, Türk Telekom, ITUARI Teknokent, Ahmet Firat, Umit Arsoy",,https://www.myth-ai.com/,,Image,Pattern design generation,,,,,,,MENA,,,,,,,
Nabla,"$22,700,000 ","Firstminute Capital,Julie Pellet,Julien Codorniou,Marc Simoncini,Paris Business Angels,Rachel Delacour,Xavier Niel,Yann LeCun",54,www.nabla.com,"* Digital care. Superpowered.
- Build engaging relationships with your patients through our machine learning-powered care platform.",Vertical,,Applications (Vertical),Text,Chat / Conversational,Healthcare,Yes,,,,,,,,,
Napkin,,,,https://www.napkin.one/,,Classification,Text classification / organization,,,,,,,Europe,,,,,,,
Native Chats,$0 ,,23,www.nativechats.com,"* Native - your partner for seamless communication across languages
- Native empowers everyone–vendors, customers, employees–to connect and communicate more effectively with our AI-enabled, real-time messaging and translation platform. With language barriers out of the way, people form deeper connections and business flows more efficiently. And that’s better for everyone’s bottom line.",Translation,,Applications (Horizontal),Text,Chat / Conversational,General,Yes,,,,,,,,,
Needl,"$3,000,000 ","Collin Wallace,Fuse (Seattle),Liquid 2 Ventures,Nathan Wenzel,Palm Drive Capital,Y Combinator",3,www.needl.tech,"* One app to search them all
- Spend less time searching, and more time [X]",Vector Search,,AI Development & Tools,Text,Search,General,Yes,,,,,,,,,
NeoTax,"$13,000,000","Fin Capital, Google Ventures, Uncork Capital, SVA, Liquid 2 Ventures",,https://www.neo.tax/,,Summarization,"Machine learning and generative AI based tax optimization, calculation and preparation for mid-size enterprises",,,,,,,SF Bay Area,,,,,,,
Netail,"$5,000,000","Magarac Venture Partners, AI Fund, HKSTP Ventures",,https://netail.ai/,,Semantic Search,Multi-modal AI enabled omnichannel intelligence,,,,,,,SF Bay Area,,,,,,,
Neural.love,,,,https://neural.love/,,Image,Photo enhancement,,,,,,,Europe,,,,,,,
NeuraLoom,"$1,150,000","Starta VC, Sergey Solonin, Serge Shilnov",,https://neuraloom.ai/,,Avatars,Generate synthetic avatars,,,,,,,"New York, NY",,,,,,,
NeuralSpace,"$3,071,875","Techstars, APX, Merus Capital, Verissimo Ventures, GoHub Ventures",,https://www.neuralspace.ai/,,Audio,Speech to Text,,,,,,,"London, UK",,,,,,,
NeuralText,,Aurelia Ventures,,https://www.neuraltext.com/,,Text,Content automation,,,,,,,Other US,,,,,,,
neuroflash,"$800,000","Michael Diehl, Microsoft Accelerator Berlin",,https://neuroflash.com/,,Text,Marketing content generation,,,,,,,Europe,,,,,,,
Neurolabs,"$4,920,613","Charlie Songhurst, 7percent Ventures, LAUNCHub Ventures, Lunar Ventures, Techstart Ventures",,https://www.neurolabs.ai/,,Image,Computer vision for CPG,,,,,,,"London, UK",,,,,,,
NeuroX1,"$1,750,000","Drive Capital, Trousdale Ventures, Vibe Capital",,http://www.neurox1.com/,,Bio,Drug design for neurodegenerative diseases,,,,,,,Other US,,,,,,,
Nichesss,,,,https://nichesss.com/,,Text,Text generation (AI writer),,,,,,,LatAm,,,,,,,
NightCare,,,,https://creator.nightcafe.studio/,,Image,Image Generation,,,,,,,Australia,,,,,,,
NLP Cloud,,,,https://nlpcloud.com/,,MLOps/Platform,Model development,,,,,,,Europe,,,,,,,
NLP Labs,,,,https://www.nlp-labs.com/,,Text,Text Generation,,,,,,,Unknown,,,,,,,
NLX,"$9,600,000","Flying Fish Partners, JetBlue Ventures, IAG Capital Partners, Sage Venture Partners, Rob Meyerson",,https://nlx.ai/,,Chatbot/Conversational AI,Contact Center,,,,,,,"New York, NY",,,,,,,
Notably,"$1,500,000","Everywhere Ventures (The Fund), Zelkova Ventures, Sentiero Ventures, Honey Badger Capital OÜ",,https://www.notably.ai/,,Audio,"Note taking, organization, transcription",,,,,,,"New York, NY",,,,,,,
NoteVibes,,,,https://notevibes.com/,,Audio,Voice Generation,,,,,,,Unknown,,,,,,,
NovelAI,,,,https://novelai.net/,,Text,Writing (stories),,,,,,,Other US,,,,,,,
Novus Writer,"$4,749,040","Startup Wise Guys, MIT Sandbox",,https://novuswriter.ai/,,Text,Written / Visual Content generation,,,,,,,Other US,,,,,,,
Nuclia,"$5,900,000 ","Crane Venture Partners,Elaia Partners",11,nuclia.com,"* The API to make the unsearchable, searchable.
- Build and optimized search-experience using the low-code Nuclia search engine API to get multi-language semantic results, specific paragraphs, text or relations. ",Vector Search,,AI Development & Tools,Text,Search,General,Yes,,,,,,,,,
NuMind,"$3,500,000","Y Combinator, Pioneer Fund, Flybridge, big_bets, Sharpstone Capital",,https://www.numind.ai/,,Text,Custom NLP models,,,,,,,Other US,,,,,,,
Nvidia Get 3D,"$4,095,000,000","Sequoia Capital, SoftBank Vision Fund, DARPA, ARK Investment Management, ARPA-E",,https://nv-tlabs.github.io/GET3D/,,Image,3D images,,,,,,,SF Bay Area,,,,,,,
Nyle,,,,https://www.nyle.ai/,,Text,E-Commerce Growth,,,,,,,"New York, NY",,,,,,,
Nyx.gallery,,,,https://nyx.gallery/,,Image,Art generation,,,,,,,Europe,,,,,,,
OASIS,"$2,700,000","Bossanova Investimentos, Shane Neman, Zillionize, George Burke, Atypical Ventures",,https://theoasis.com/,,Video,Face swaps,,,,,,,Other US,,,,,,,
Observe.ai,"$214,020,000","Zoom, Bossanova Investimentos, Y Combinator, Menlo Ventures, Hack VC",,https://www.observe.ai/,,Chatbot/Conversational AI,Contact Center,,,,,,,SF Bay Area,,,,,,,
Obviously.ai,"$4,600,000","Meta, TMV, B Capital Group, Golden Gate Ventures, iSeed",,https://www.obviously.ai/,,MLOps/Platform,No-code AI tool,,,,,,,SF Bay Area,,,,,,,
OctoML,"$131,900,000","Tiger Global Management, Madrona, Amplify Partners, Addition",,https://octoml.ai/,,MLOps/Platform,Model development,,,,,,,"Seattle, WA",,,,,,,
Octopize,"$1,500,000","Bpifrance, Pays de la Loire Participations, Atlantique Vendée Innovation, Pays de la Loire Développement",,https://octopize-md.com/en/,,Data,Synthetic data,,,,,,,Europe,,,,,,,
Oliv,"$1,200,000 ","Foundation Capital,Spider Capital,Startup School",6,www.oliv.ai,"* Clone your best sellers in no time 
- Oliv learns winning practices from recorded sales conversations, guides sellers to shine in every meeting and helps managers monitor sales process adoption.",Sales Coaching,,Applications (Horizontal),Text,Sales / Copywriting,General,Yes,,,,,,,,,
Omneky,"$2,500,000 ","Alloy Fund,Brianne Kimmel,Charlie Feng,Craig Kostelic,Deepcore,Eric Kohlmann,Gene Farrell,Hyphen Capital (San Francisco),John Donovan,Plug and Play Tech Center,Richard Socher,Tien Tzuo,Village Global",49,www.omneky.com,"* Grow Sales with AI-Powered Creative
- Show the perfect ad tailored for each customer with state-of-the-art deep learning.",Ad Generation & Brand Building,,Applications (Horizontal),Image,Ad Design,General,Yes,,,,,,,,,
Omneky,"$10,000,000","Village Global, Hyphen Capital, Richard Socher, Bruno Faviero, FAST — by GETTYLAB",,https://www.omneky.com/,,Text,Marketing / ad generation,,,,,,,SF Bay Area,,,,,,,
One AI,"$11,600,000 ","Ariel Maislos,TechAviv Founder Partners,Tomer Wiengarten",22,www.oneai.com,"* Embed language in your product
- One AI is an API-first, language AI service built for developers. Embed our API to analyze, process, and transform text in your project",Foundation Model Providers,,AI Development & Tools,Image,Model Development & Tools,General,Yes,,,,,,,,,
One AI,"$8,000,000","Ariel Maislos, Tomer Weingarten, TechAviv Founder Partners",,https://www.oneai.com/,,Summarization,NLP AI / article summaries,,,,,,,Israel,,,,,,,
OneView,"$3,500,000","Intel Ignite, TPY Capital, RDC - Rafael Development Corporation, MediaTek Ventures",,https://one-view.ai/,,Data,Geospatial data,,,,,,,Israel,,,,,,,
OnLoop,"$5,500,000 ","Alex Dwek,Aliza Knox,Allen Penn,Andrew Macdonald,Bambos Kaisharis,Brooks Entwistle,Eddie Lee,Hustle Fund,John Candeto,Keshav Lall,MassMutual Ventures,Robert Hoyt,Square Peg Capital,XA Network",22,www.onloop.com,"* It’s time for collaborative team development that adds up
- A radical new way to effectively drive the progress and growth of your hybrid team",HR,,Applications (Vertical),Text,,Human Resources,Yes,,,,,,,,,
OpenAI,"$11,300,120,000","Andreessen Horowitz, Microsoft, Thrive Capital, Y Combinator, Sequoia Capital",,https://openai.com/,,MLOps/Platform,AI Research and deployment,,,,,,,SF Bay Area,,,,,,,
OpenArt,"$1,600,000","Decent Capital, BasisSet",,https://openart.ai/,,Image,Art generation,,,,,,,SF Bay Area,,,,,,,
Operand,$0 ,No Data,,www.operand.ai,"* A personal search engine for everyone.
- A Chrome extension which indexes everything you read online. Never miss anything important again.",Knowledge Bases / Vector Search Apps,,Applications (Horizontal),Text,Search,General,Yes,,,,,,,,,
Opus,,,,https://opus.ai/,,Video,Text to Video,,,,,,,Other US,,,,,,,
Opus Clip,"$250,000 ","DCM, Fellows Fund, AI Grant",27,https://www.opus.pro/,Video Clipping tool turning long form video into viral short clips.,"AI Editing for Video, Photos, and Audio",,Applications (Horizontal),Video,Video Editing,General,Yes,,,,,,,,,
Orby,"$68,500,000 ","Anthony Goldbloom,Brian Granger,Dragomir Anguelov,Eitan Pilipski,Fernando De la Torre,Gal Chechik,Lihi Zelnik-Manor,Manuel Bronstein,Michael Black,Operator Partners,Raghu Hiremagalur,Scale Venture Partners,Spider Capital,TLV Partners,Trevor Darrell,Vantage Equities,Vintage Investment Partners,Viola Growth,Viola Ventures,Yossi Matias",122,www.datagen.tech,"* AI that saves you time
- 60% of jobs have at least 30% of the work that is repetitive and automatable. Orby AI observes and learns from users’ day to day work and automatically creates the scripts to automate both rules based tasks and more complex tasks that require AI and ML.",Task Automation & Virtual Assistant,,Applications (Horizontal),Code,RPA Automation,General,Yes,,,,,,,,,
Osmosis,,,,https://osmosis.studio/,,Image,Ad generation,,,,,,,SF Bay Area,,,,,,,
Osmosis.studio,$0 ,No Data,,www.Osmosis.studio,A web-based content-aware design tool for generating AI ads that sell real products,Ad Generation & Brand Building,,Applications (Horizontal),Image,Ad Design,General,No,,,,,,,,,
OthersideAI,"$2,600,000 ","Active Capital,Alpha Bridge Ventures,Chapter One Ventures,Hustle Fund,Incisive Ventures,Madrona Venture Group,New York Venture Partners",7,www.othersideai.com,* Reimagining writing. We create technology to help the world communicate more effectively.,General Purpose Communication Writing,,Applications (Horizontal),Text,General Writing & Editing,General,Yes,,,,,,,,,
OthersideAI,"$5,400,000","Madrona, Siqi Chen, Chapter One Ventures, Active Capital, Hustle Fund",,https://www.othersideai.com/,,Text,Writing/Editing,,,,,,,"New York, NY",,,,,,,
Otter,"$63,000,000","500 Global, Draper Associates, Bridgewater Associates, Horizons Ventures, GGV Capital",,https://otter.ai/,,Summarization,Meeting note summarization,,,,,,,SF Bay Area,,,,,,,
Outerbounds,"$24,250,000","Costanoa Ventures, Foundation Capital, Greenoaks, Amplify Partners",,https://outerbounds.com/,,MLOps/Platform,Model dev,,,,,,,SF Bay Area,,,,,,,
Outplay,"$9,300,000","Kunal Shah, Surge, Sequoia Capital India, Khadim Batti, Krish Subramanian",,https://outplayhq.com/,,Text,Sales / email generation,,,,,,,Other US,,,,,,,
Outranking,,,,https://www.outranking.io/,,Text,Content creation (SEO),,,,,,,Other US,,,,,,,
Outwrite,,,,https://www.outwrite.com/,,Text,Writing/Editing,,,,,,,Australia,,,,,,,
Pally,"$309,759",,,https://www.pally.com/,,Chatbot/Conversational AI,AI assistant to every social conversation,,,,,,,"London, UK",,,,,,,
Panjaya,,,,https://www.panjaya.ai/,,Audio,AI dubbing,,,,,,,Israel,,,,,,,
PaperCup,"$44,500,000 ","Alexander Shelkovnikov,Bertelsmann Digital Media Investments,Christopher Mairs,Des Traynor,Entrepreneur First,GMG Ventures,Government of UK,Innovate UK,John Collison,Michael Orland,Octopus Ventures,Phoenix Court,Sands Capital,Sky Startup Investments & Partnerships,Toby Moore,William Tunstall-Pedoe,Zoubin Ghahramani",103,www.papercup.com,"* AI-powered Dubbing. 
- Discover faster, more affordable, automated video localization and go global with your existing video content.",Synthetic Voices & Dubbing,,Applications (Horizontal),Audio,Audio Editing & Dubbing,General,Yes,,,,,,,,,
Papercup,"$33,234,603","Entrepreneur First, LocalGlobe, Octopus Ventures, BDMI, Sands Capital Ventures",,https://www.papercup.com/,,Audio,Video dubbing / localization,,,,,,,"London, UK",,,,,,,
Paperplane,"$1,000,000","Y Combinator, Jackson Moses, Bloomberg Beta, Afore Capital, FAST — by GETTYLAB",,https://www.paperplane.ai/,,Audio,Speech to text / data organization,,,,,,,"New York, NY",,,,,,,
ParagraphAI,,,,https://paragraphai.com/,,Text,Writing/Editing,,,,,,,North America (excl. US),,,,,,,
Parallel Domain,"$43,940,000","Toyota Ventures, Foundry Group, RRE Ventures, Calibrate Ventures, Costanoa Ventures",,http://paralleldomain.com,,Data,Synthetic data,,,,,,,SF Bay Area,,,,,,,
Parsnip,"$300,000","Luis von Ahn, Severin Hacker, Jacob Peters, Zach Goldberg, Mark Miller, Barry Huang, and other angels",,https://www.parsnip.ai/,,Game,Cooking education,,,,,,,"New York, NY",,,,,,,
Patent Blast,$0 ,No Data,,https://patentblast.com/,"* An automated patent drafting software 
- Helps patent professionals generate high-quality specification and drawings based on manually drafted claims.",Vertical,,Applications (Vertical),Text,General Writing & Editing,Legal,Yes,,,,,,,,,
PatentPal,"$300,000 ",Foothill Ventures,4,www.patentpal.com,"* Generative AI for Intellectual Property
- Automate mechanical writing in your patent applications",Vertical,,Applications (Vertical),Text,General Writing & Editing,Legal,Yes,,,,,,,,,
PatentPal,"$250,000",Foothill Ventures,,https://patentpal.com/,,Legal,Generative AI for intellectual property,,,,,,,SF Bay Area,,,,,,,
Pathway,"$100,000",,,https://www.pathway-ai.com/,,Semantic Search,Search financial information,,,,,,,"London, UK",,,,,,,
Peech,"$14,300,000 ","Ariel Maislos,Avishag Bohbot,Avishai Bitton,Cardumen Capital,Fresh.Fund,Ibex Investors,Nuseir Yassin",27,www.peech-ai.com,"* Turning content teams into unstoppable creators.
- Automatically create, transcribe, collaborate, optimize and publish content - all in one place.","AI Editing for Video, Photos, and Audio",,Applications (Horizontal),Video,Video Editing,General,Yes,,,,,,,,,
Peech,"$6,000,000","Ariel Maislos, Cardumen Capital, fresh.fund, Ibex Investors, Nuseir Yassin",,https://www.peech-ai.com/,,Video,Content creation,,,,,,,Israel,,,,,,,
Pencil,"$1,100,000 ","Entrepreneur First,Infocomm Media Development Authority,Min-Yen Kan,Sequoia Capital,SGInnovate,Surge (Accelerator),The Unilever Foundry,Wavemaker Partners,XA Network",32,www.trypencil.com,"* The easiest way to get winning ad creative.
- Fast-growing ecommerce brands use Pencil to get 2x better ad results at 10x less time and cost.",Ad Generation & Brand Building,,Applications (Horizontal),Image,Ad Design,General,Yes,,,,,,,,,
Pencil,"$3,850,000",Wavemaker Partners,,https://www.trypencil.com/,,Image,Ad recommendations,,,,,,,APAC,,,,,,,
Penelope,,Digital Science,,https://www.penelope.ai/,,Summarization,Summarization (academic),,,,,,,"London, UK",,,,,,,
Pepper Content,"$18,900,000 ","Aakrit Vaish,Abhinav Sinha,Akhil Paul,Alok Mittal,Amit Ranjan,AngelList,Ankur Nagpal,Aroa Ventures,Ashish Gupta,Balaji Srinivasan,Beerud Sheth,Bessemer Venture Partners,Dheeraj Pandey,Dilipkumar Khandelwal,Gaurav Mandlecha,Gaurav Munjal,Gokul Rajaram,GTMFund,Hemanshu Jain,iSeed (India),Kunal Bahl,Kunal Shah,Lightspeed India Partners,Manan Maheshwari,Miten Sampat,Ritesh Agarwal,Ritesh Malik,Rohit Bansal,Sanjay Tripathy,Saurabh Srivastava,Shradha Sharma,Sidharth Rao,Tanglin Venture Partners,Titan Capital,Utsav Somani",995,www.peppercontent.io,"* Scale your content needs. Fast.
- Pepper is the one-stop platform that handles everything from content ideation to delivery. Just enter your requirements and we'll make it happen with our team of 1,00,000+ content creators.",Content Marketplaces,,Applications (Vertical),Text,General Writing & Editing,Marketing,Yes,,,,,,,,,
Pepper Content,"$18,658,353","YourStory, Balaji Srinivasan, Bessemer Venture Partners, Titan Capital, GTMfund",,https://www.peppercontent.io/,,Text,Content/marketing generation,,,,,,,APAC,,,,,,,
Peppertype.ai,,,,https://www.peppertype.ai/,,Text,Marketing / content generation,,,,,,,APAC,,,,,,,
Persado,"$66,000,000","Goldman Sachs, American Express, American Express Ventures, Bain Capital Ventures, Citi Ventures",,https://www.persado.com/,,Text,Language generation,,,,,,,"New York, NY",,,,,,,
Personal.ai,"$8,400,000","Village Global, Differential Ventures, BBG Ventures, Jane Street Capital, Good Friends",,https://www.personal.ai,,Text,Personalized digital minds,,,,,,,"New York, NY",,,,,,,
Phaito,,,,https://www.phaito.com/,,Image,photo auto-editing,,,,,,,Unknown,,,,,,,
Phind,$0 ,Y Combinator,2,phind.com,The search engine for instant answers.,Search Engine,,Applications (Horizontal),Text,Search,General,Yes,,,,,,,,,
Photoroom,"$21,400,000 ","Adjacent Venture Capital,Balderton Capital,Eric Setton,FJ Labs,Francescu Santoni,François Lagunas,Holger Seim,Jacob Eiting,Jean Patry,John Bonten,Kima Ventures,Liquid 2 Ventures,Nicolas Pinto,Nicolas Steegmann,Uncommon Projects,Y Combinator,Yann LeCun,Zehan Wang",20,www.photoroom.com,* Remove background automatically and create professional images.,"AI Editing for Video, Photos, and Audio",,Applications (Horizontal),Image,Image Editing,General,Yes,,,,,,,,,
PhotoRoom,"$19,125,000","Meta, Hugging Face, Y Combinator, FJ Labs, Balderton Capital",,https://www.photoroom.com/,,Image,photo generator / Background removal,,,,,,,Europe,,,,,,,
Phrasee,"$5,334,267","AlbionVC, Next Fifteen Communications Group, Galvanise Capital, Capital D",,https://phrasee.co/,,Text,AI Content,,,,,,,"London, UK",,,,,,,
Pictory,"$2,100,000 ","Fuse (Seattle),Voyager Capital",10,pictory.ai,"* Video Marketing Made EASY
- Automatically create short, highly-sharable branded videos from your long form content.",Content Repurposing,,Applications (Vertical),Video,Video Editing,Marketing,Yes,,,,,,,,,
Pictory,"$4,716,218","FUSE, Voyager Capital, Bill Bryant, Bharat Shyam, Omri Bahat",,https://pictory.ai/,,Video,Text to Video,,,,,,,"Seattle, WA",,,,,,,
PicUP.Ai,,,,https://www.picup.ai/,,Image,Automated image editing,,,,,,,APAC,,,,,,,
Pilot,"$2,700,000","Y Combinator, Arash Ferdowsi, Emmett Shear",,http://www.pilot-ai.org/,,Audio,Speech to text / data organization,,,,,,,SF Bay Area,,,,,,,
Pinecone,"$38,000,000 ","Bucky Moore,Gaurav Gupta,Llana Stern,Menlo Ventures,Paul Hsiao,Robert Muglia,Sebastian Gunningham,Tiger Global Management,Will Hayes,William Freiberg,Wing Venture Capital",57,www.pinecone.io,"* Search like you mean it
- The Pinecone vector database makes it easy to build high-performance vector search applications. Developer-friendly, fully managed, and easily scalable without infrastructure hassles.",Vector Search,,AI Development & Tools,,Data Management,General,Yes,,,,,,,,,
Pinecone,"$138,000,000","Andreessen Horowitz, Tiger Global Management, Menlo Ventures, Wing Venture Capital, ICONIQ Growth",,https://www.pinecone.io/,,Semantic Search,Vector database,,,,,,,"New York, NY",,,,,,,
Plask,"$2,567,768","Smilegate Investment, TIPS Program, KT investment, NAVER D2 Startup Factory, Timewise Investment",,https://plask.ai/,,Video,Animation,,,,,,,APAC,,,,,,,
Play,"$500,000","500 Global, Y Combinator",,https://play.ht/,,Audio,Text to Speech,,,,,,,SF Bay Area,,,,,,,
Play.ht,$0 ,No Data,,play.ht,"* AI powered text to voice generation
- Generate realistic Text to Speech (TTS) audio using online AI Voice Generator and best synthetic voices. Instantly convert text in to natural-sounding speech and download as MP3 and WAV audio files.",Synthetic Voices & Dubbing,,Applications (Horizontal),Audio,Audio Editing & Dubbing,General,Yes,,,,,,,,,
Playground,,,,https://playgroundai.com/,,Image,Image Generation,,,,,,,SF Bay Area,,,,,,,
Plnia,,,,https://www.plnia.com/,,Summarization,NLP AI,,,,,,,Unknown,,,,,,,
Pluralytics,"$4,600,000",Ecliptic Capital,,https://pluralytics.com/,,Sentiment Analysis,Text sentiment analysis,,,,,,,Other US,,,,,,,
podcast.ai,,,,https://podcast.ai/,,Audio,Voice Synthesis / Generation,,,,,,,Unknown,,,,,,,
Podcastle,"$8,750,000","Correlation Ventures, Sierra Ventures, RTP Global, s16vc, AI Fund",,https://podcastle.ai/,,Audio,"Podcast recording, editing, exporting",,,,,,,MENA,,,,,,,
Poe by Quora,"$226,000,000","Y Combinator, Tiger Global Management, Founders Fund, Collaborative Fund, Peter Thiel",,https://poe.com/,,Chatbot/Conversational AI,Easy to use chat interface,,,,,,,SF Bay Area,,,,,,,
Poised,"$4,500,000","Wing Venture Capital, Next Play Ventures, Hyphen Capital, Concrete Rose Capital, Slack Fund",,https://www.poised.com,,Audio,AI communication coach,,,,,,,SF Bay Area,,,,,,,
Poly,$0 ,Y Combinator,3,www.withpoly.com,"A better cloud hosting service for your
personal files, built for the generative age",Design Tools,,Applications (Horizontal),General / Multi-Modal,Search,General,Yes,,,,,,,,,
Poly,"$4,000,000","Y Combinator, Figma, Goodwater Capital, NextView Ventures, Bloomberg Beta",,https://withpoly.com/,,Image,Design,,,,,,,Other US,,,,,,,
